commentary_id,reference,title,commentary_long,commentary_summary,tags
COMM_02_35_A,Gita 2.35,The Misinterpretation of Retreat,"""The great warriors will think you have fled from the battlefield out of fear... and will consider you insignificant."" This is a lesson in public perception. Even if your motives are complex, the world will often interpret retreat as cowardice.","The world will often interpret your retreat from a challenge as cowardice, regardless of your motives.","fear of failure, overcoming self-doubt"
COMM_02_36_A,Gita 2.36,The Pain of Slander,"""Your enemies will describe you in many unkind words and scorn your ability. What could be more painful than that?"" This points to the psychological pain of having your abilities and character slandered, a powerful motivator for many.",Slander against your character and abilities can be a source of immense psychological pain.,"negative thoughts, stress"
COMM_02_37_A,Gita 2.37,The Win-Win Proposition,"""Either you will be slain and attain the heavenly planets, or you will conquer and enjoy the earthly kingdom. Therefore, get up with determination and fight."" Krishna presents the duty as a no-lose situation from a spiritual and material perspective, removing the fear of failure.","When you perform your duty, you win either way, so act with determination.","Dharma, Karma, fear of failure"
COMM_02_38_A,Gita 2.38,The Formula for Sinless Action,"""Fight for the sake of fighting, without considering happiness or distress, loss or gain, victory or defeat — and by so doing you shall never incur sin."" This is a core definition of Karma Yoga. By acting with equanimity, the action has no binding karmic reaction.","Act with a balanced mind, without attachment to the outcome, and you will be free from karmic reactions.","equanimity, mental peace, detachment, Nishkama Karma"
COMM_02_39_A,Gita 2.39,From Knowledge to Action,"Krishna marks a transition: he has explained analytical knowledge (Sankhya), and will now explain the yoga of action (Buddhi-yoga), by which one can be freed from bondage. This shows the two are linked: knowledge must be applied in action.",Knowledge is not enough; it must be applied in action to achieve freedom.,"Jnana Yoga, Karma Yoga, Moksha"
COMM_02_40_A,Gita 2.40,No Loss on This Path,"""In this endeavor there is no loss or diminution, and a little advancement on this path can protect one from the most dangerous type of fear."" This is a great encouragement. Unlike material efforts that can be lost, any small spiritual effort is permanent and beneficial.",Even a small amount of spiritual effort is never wasted and can protect you from great fear.,"Karma, Dharma, overcoming fear"
COMM_02_41_A,Gita 2.41,The Single-Pointed Mind,"""Those who are on this path are resolute in purpose, and their aim is one. O beloved child of the Kurus, the intelligence of those who are irresolute is many-branched."" This highlights the power of focus. A successful life, spiritual or material, requires a single-pointed determination.","A focused, single-pointed mind is essential for success in any endeavor.","lack of focus, indecision, finding purpose"
COMM_02_42_A,Gita 2.42,The Flowery Words of the Unwise,"Krishna critiques those who are attached to the superficial, ritualistic parts of the Vedas, claiming there is nothing beyond them. This is a warning against mistaking rituals for the ultimate spiritual goal.",Do not mistake superficial rituals for the ultimate spiritual goal.,"letting go of greed, Jnana Yoga"
COMM_02_43_A,Gita 2.43,The Trap of Heavenly Desire,Those motivated by desire for pleasure and heavenly rewards perform elaborate ceremonies. This verse points out that actions motivated by a desire for a better material result (even in the afterlife) still keep one bound to the cycle of rebirth.,Actions motivated by a desire for material rewards will keep you bound to the cycle of rebirth.,"letting go of greed, reincarnation"
COMM_02_44_A,Gita 2.44,Attachment Blocks Clarity,"For those whose minds are attached to pleasure and power, a resolute, single-pointed intelligence for meditation is not possible. This is a practical psychological principle: a mind constantly seeking external gratification cannot achieve deep inner focus.",A mind that constantly seeks external pleasure cannot achieve deep inner focus.,"lack of focus, letting go of greed"
COMM_02_45_A,Gita 2.45,Transcending the Three Gunas,"""The Vedas deal mainly with the three modes of material nature. O Arjuna, become transcendental to these three modes."" This is a call to rise above the psychological forces of Sattva, Rajas, and Tamas and become established in pure self-awareness.",Rise above the influences of the material world and become established in your true self.,"three gunas, Sattva Rajas Tamas, detachment, self-realization"
COMM_02_46_A,Gita 2.46,The Purpose of Scripture,"""All purposes served by a small well can at once be served by a great reservoir of water. Similarly, all the purposes of the Vedas can be served to one who knows the purpose behind them."" This means that for a self-realized person, the essence of all scriptures is understood, and they are no longer bound by literal rules.","Once you understand the true purpose behind scriptures, you are no longer bound by their literal rules.","Jnana Yoga, self-realization"
COMM_02_47_A,Gita 2.47,"The Right to Act, Not to the Fruits","""You have a right to perform your prescribed duty, but you are not entitled to the fruits of action."" This is the most famous verse of the Gita and the essence of Karma Yoga. Focus on the quality of your work, and let go of your anxious attachment to the outcome.",Focus on performing your duty to the best of your ability and detach from the outcome.,"Nishkama Karma (selfless action), Karma, detachment, work-life balance India"
COMM_02_48_A,Gita 2.48,Yoga is Equanimity,"""Perform your duty equipoised, O Arjuna, abandoning all attachment to success or failure. Such equanimity is called yoga."" This verse provides a practical definition of yoga for daily life. Yoga is not just physical postures; it is a state of mental balance.",Yoga is not just about physical postures; it is a state of mental balance and equanimity.,"Karma Yoga, equanimity, detachment, mental peace"
