Chapter,Verse,Sanskrit verse,Translation (English),Hinglish (1),Hinglish (2),Summary,Source ID,Reference,message,tags
1,11,अयनेषु च सर्वेषु यथाभागमवस्थिताः भीष्ममेवाभिरक्षन्तु भवन्तः सर्व एव हि,"Therefore, all of you, positioned in your respective divisions, should give full support to Grandfather Bhishma.","Apne-apne mokam par tainat rehkar, sab log Bhishma ji ki poori raksha karein.","""Isliye, aap sab apne-apne morchon par date rahen aur har taraf se Pitamah Bheeshma ki raksha karein.""","Duryodhana urges his warriors to protect their greatest commander, Bhishma.",GITA_01_11,Gita 1.11,"अयनेषु च सर्वेषु यथाभागमवस्थिताः भीष्ममेवाभिरक्षन्तु भवन्तः सर्व एव हि
Therefore, all of you, positioned in your respective divisions, should give full support to Grandfather Bhishma.
Apne-apne mokam par tainat rehkar, sab log Bhishma ji ki poori raksha karein.","office politics, stress"
1,12,तस्य सञ्जञ्जनयन्हर्षं कुरुवृद्धः पितामहः सिंहनादं विनद्योष्च शङ्खं दध्मौ प्रतापवान्,"Then, to boost Duryodhana’s morale, the mighty grandsire Bhishma, the eldest of the Kuru dynasty, roared like a lion and blew his conch.","Tab Duryodhan ka hosla badhane ke liye, veer pitamah Bhishma ne sher ki tarah garajkar apna shankh bajaya.","""Tab Kuru vansh ke sabse buzurg aur shaktishali Pitamah Bheeshma ne Duryodhan ko khush karne ke liye sher ki tarah garajkar apna shankh bajaya.""",Bhishma’s conch sound symbolized readiness and inspired his troops.,GITA_01_12,Gita 1.12,"तस्य सञ्जञ्जनयन्हर्षं कुरुवृद्धः पितामहः सिंहनादं विनद्योष्च शङ्खं दध्मौ प्रतापवान्
Then, to boost Duryodhana’s morale, the mighty grandsire Bhishma, the eldest of the Kuru dynasty, roared like a lion and blew his conch.
Tab Duryodhan ka hosla badhane ke liye, veer pitamah Bhishma ne sher ki tarah garajkar apna shankh bajaya.","stress, anxiety"
1,13,ततः शङ्खाश्च भेर्यश्च पणवानकगोमुखाः सहसैवाभ्यहन्यन्त स शब्दस्तुमुलोऽभवत्,"Thereafter, conchs, drums, bugles, trumpets, and horns suddenly blared forth, producing a tumultuous sound.","Uske baad shankh, dhol, bheri, turahi aur narsingha ekdum se bajne lage aur maha shor mach gaya.","""Uske turant baad, shankh, nagaade, dhol aur trumpets ek saath baj uthe, jisse ek bohot hi bhayankar shor paida hua.""",The loud instruments announced the official commencement of battle preparations.,GITA_01_13,Gita 1.13,"ततः शङ्खाश्च भेर्यश्च पणवानकगोमुखाः सहसैवाभ्यहन्यन्त स शब्दस्तुमुलोऽभवत्
Thereafter, conchs, drums, bugles, trumpets, and horns suddenly blared forth, producing a tumultuous sound.
Uske baad shankh, dhol, bheri, turahi aur narsingha ekdum se bajne lage aur maha shor mach gaya.","stress, anxiety, fear"
1,14,ततः श्वेतैर्हयैर्युक्ते महति स्यन्दने स्थितौ माधवः पाण्डवश्चैव दिव्यौ शङ्खौ प्रदध्मतुः,"Then, in their grand chariot yoked with white horses, Madhava (Sri Krishna) and Arjuna sounded their divine conches.","Phir, safed ghodon wale vishal rath par baithe Madhav (Sri Krishna) aur Arjun ne apne divya shankh bajaye.","""Dusri taraf, safed ghodon waale ek shaandaar rath par baithe Shri Krishna aur Arjun ne bhi apne divya shankh bajaye.""",The entry of Krishna and Arjuna with divine conch sounds signified the righteous side’s declaration.,GITA_01_14,Gita 1.14,"ततः श्वेतैर्हयैर्युक्ते महति स्यन्दने स्थितौ माधवः पाण्डवश्चैव दिव्यौ शङ्खौ प्रदध्मतुः
Then, in their grand chariot yoked with white horses, Madhava (Sri Krishna) and Arjuna sounded their divine conches.
Phir, safed ghodon wale vishal rath par baithe Madhav (Sri Krishna) aur Arjun ne apne divya shankh bajaye.","Dharma, mental peace"
1,15,पाञ्चजन्यं हृषीकेशो देवदत्तं धनञ्जयः पौण्ड्रं दध्मौ महाशंखं भीमकर्मा वृकोदरः,"Hrishikesh (Krishna) blew the Panchajanya, Dhananjaya (Arjuna) blew the Devadatta, and Vrikodara (Bhima) blew the great conch Paundra.","Hrishikesh(Sri Krisha) ne Panchajanya bajaya, Arjun ne Devadatta, aur Bhima ne bada shankh Paundra bajaya.","""Shri Krishna ne apna Panchajanya shankh bajaya, Arjun ne Devadatta, aur zyaada bhojan karne waale Bheem ne apna Paundra naam ka vishaal shankh bajaya.""","Each warrior’s conch had a name and history, reflecting their strength and identity.",GITA_01_15,Gita 1.15,"पाञ्चजन्यं हृषीकेशो देवदत्तं धनञ्जयः पौण्ड्रं दध्मौ महाशंखं भीमकर्मा वृकोदरः
Hrishikesh (Krishna) blew the Panchajanya, Dhananjaya (Arjuna) blew the Devadatta, and Vrikodara (Bhima) blew the great conch Paundra.
Hrishikesh(Sri Krisha) ne Panchajanya bajaya, Arjun ne Devadatta, aur Bhima ne bada shankh Paundra bajaya.",Dharma
1,16,अनन्तविजयं राजा कुन्तीपुत्रो युधिष्ठिरः नकुलः सहदेवश्च सुघोषमणिपुष्पकौ,"King Yudhishthira, son of Kunti, blew the Anantavijaya; Nakula and Sahadeva blew the conches Sughosha and Manipushpaka.","Raja Yudhishthir ne Anantavijaya bajaya, Nakul ne Sughosh aur Sahadev ne Manipushpak.","""Kunti-putra Raja Yudhishthir ne apna Anantavijaya shankh bajaya; aur Nakul aur Sahadeva ne Sughosha aur Manipushpaka naam ke shankh bajaye.""",The Pandava brothers announced unity and readiness with their own conch calls.,GITA_01_16,Gita 1.16,"अनन्तविजयं राजा कुन्तीपुत्रो युधिष्ठिरः नकुलः सहदेवश्च सुघोषमणिपुष्पकौ
King Yudhishthira, son of Kunti, blew the Anantavijaya; Nakula and Sahadeva blew the conches Sughosha and Manipushpaka.
Raja Yudhishthir ne Anantavijaya bajaya, Nakul ne Sughosh aur Sahadev ne Manipushpak.",Dharma
1,17,काश्यश्च परमेष्वासः शिखण्डी च महारथः धृष्टद्युम्नो विराटश्च सात्यकिश्चापराजितः,"The king of Kashi, the great archer; Shikhandi the maharatha; Dhrishtadyumna; Virata; and the undefeated Satyaki blew their respective conches.","Kashi naresh, shreshtha dhanurdhar; maharathi Shikhandi; Dhrishtadyumna; Virat; aur ajey Satyaki ne apne shankh bajaye.","""Mahan dhanurdhar Kashi-raj, maharathi Shikhandi, Dhrishtadyumna, Virata, aur ajey Satyaki ne bhi apne-apne shankh bajaye.""",Prominent allies of the Pandavas also joined in the symbolic sound of readiness.,GITA_01_17,Gita 1.17,"काश्यश्च परमेष्वासः शिखण्डी च महारथः धृष्टद्युम्नो विराटश्च सात्यकिश्चापराजितः
The king of Kashi, the great archer; Shikhandi the maharatha; Dhrishtadyumna; Virata; and the undefeated Satyaki blew their respective conches.
Kashi naresh, shreshtha dhanurdhar; maharathi Shikhandi; Dhrishtadyumna; Virat; aur ajey Satyaki ne apne shankh bajaye.",Dharma
1,18,द्रुपदो द्रौपदेयाश्च सर्वशः पृथिवीपते सौभद्रश्च महाबाहुः शङ्खान्दध्मुः पृथक्पृथक्,"Drupada; the sons of Draupadi; and the mighty-armed son of Subhadra blew their conches from various positions, O King.","Drupad, Draupadi ke putra, aur Subhadra-putra ne bhi apne-apne mokam par shankh bajaye.","""Hey Rajan, Drupad, Draupadi ke beton, aur Subhadra ke mahabali bete (Abhimanyu) ne bhi alag-alag shankh bajaye.""","The sound resonated from all sides, enveloping the battlefield.",GITA_01_18,Gita 1.18,"द्रुपदो द्रौपदेयाश्च सर्वशः पृथिवीपते सौभद्रश्च महाबाहुः शङ्खान्दध्मुः पृथक्पृथक्
Drupada; the sons of Draupadi; and the mighty-armed son of Subhadra blew their conches from various positions, O King.
Drupad, Draupadi ke putra, aur Subhadra-putra ne bhi apne-apne mokam par shankh bajaye.",Dharma
1,19,स घोषो धार्तराष्ट्राणां हृदयानि व्यदारयत् नभश्च पृथिवीं चैव तुमुलो व्यनुनादयन्,That tumultuous sound shattered the hearts of Dhritarashtra’s sons and echoed through the sky and earth.,"Yeh bhayanak shankh-naad ne Dhritarashtra ke putron ke dil hila diye, asmaan-zameen goonj uthi.","""Us bhayankar aawaz ne aasmaan aur dharti ko hila diya, aur Dhritarashtra ke beton ke dilon mein dar paida kar diya.""",The morale of the Kaurava side was shaken by the overwhelming spiritual challenge.,GITA_01_19,Gita 1.19,"स घोषो धार्तराष्ट्राणां हृदयानि व्यदारयत् नभश्च पृथिवीं चैव तुमुलो व्यनुनादयन्
That tumultuous sound shattered the hearts of Dhritarashtra’s sons and echoed through the sky and earth.
Yeh bhayanak shankh-naad ne Dhritarashtra ke putron ke dil hila diye, asmaan-zameen goonj uthi.","stress, anxiety, fear"
1,20,अथ व्यवस्थितान्दृष्ट्वा धार्तराष्ट्रान् कपिध्वजः प्रवृत्ते शस्त्रसंप्रह्रे धनुरुद्यम्य पाण्डवः,"At that time, seeing Dhritarashtra’s sons positioned for battle, Arjuna, whose flag bore the Hanuman emblem, picked up his bow as the war was about to begin.","Tab Arjun, jinke rath par Hanuman ka dhwaj tha, ne Kauravon ko vyuh me dekha aur yudh shuru hone se pehle apna dhanush uthaya. (Hanuman emblem symbolizes strength and devotion; Arjuna prepared himself mentally for action.)","""Hey Rajan, us samay jab teer chalne hi waale the, Hanuman-dhwaj waale rath par baithe Arjun ne apna dhanush uthaya aur Shri Krishna se yeh kaha.""",Hanuman emblem symbolizes strength and devotion; Arjuna prepared himself mentally for action.,GITA_01_20,Gita 1.20,"अथ व्यवस्थितान्दृष्ट्वा धार्तराष्ट्रान् कपिध्वजः प्रवृत्ते शस्त्रसंप्रह्रे धनुरुद्यम्य पाण्डवः
At that time, seeing Dhritarashtra’s sons positioned for battle, Arjuna, whose flag bore the Hanuman emblem, picked up his bow as the war was about to begin.
Tab Arjun, jinke rath par Hanuman ka dhwaj tha, ne Kauravon ko vyuh me dekha aur yudh shuru hone se pehle apna dhanush uthaya. (Hanuman emblem symbolizes strength and devotion; Arjuna prepared himself mentally for action.)","Dharma, stress, indecision"
1,21,अर्जुन उवाच सेनयोः उभयोर्मध्ये रथं स्थापय मेऽच्युत,"Arjuna said: O Achyuta, please place my chariot between the two armies.","Arjun (requests): Hey Krishna, mera rath dono side ke beech me laga do.","""Arjun ne kaha: Hey Achyuta (Krishna), kripya mera rath dono senaon ke beech mein le chaliye.""",Arjuna requests Krishna to position the chariot so he can view both sides before the battle.,GITA_01_21,Gita 1.21,"अर्जुन उवाच सेनयोः उभयोर्मध्ये रथं स्थापय मेऽच्युत
Arjuna said: O Achyuta, please place my chariot between the two armies.
Arjun (requests): Hey Krishna, mera rath dono side ke beech me laga do.","confusion, indecision"
1,22,यावदेतान्निरीक्षेऽहं योद्धुकामानवस्थितान् कैर्मया सह योद्धव्यमस्मिन्रणसमुद्यमे,"So that I may observe those arrayed for battle, wishing to fight, with whom I must contend in this great trial of arms.","Taaki main dekh sakun kaun ladne ke liye khade hain, aur kis se mera samna hoga.","""Taaki main dekh sakoon ki yahan kaun-kaun yuddh karne ki ichha se khada hai, aur is mahayuddh mein mujhe kiske saath ladna hai.""",Arjuna wants to assess the warriors participating in the war.,GITA_01_22,Gita 1.22,"यावदेतान्निरीक्षेऽहं योद्धुकामानवस्थितान् कैर्मया सह योद्धव्यमस्मिन्रणसमुद्यमे
So that I may observe those arrayed for battle, wishing to fight, with whom I must contend in this great trial of arms.
Taaki main dekh sakun kaun ladne ke liye khade hain, aur kis se mera samna hoga.","confusion, lack of focus"
1,23,योत्स्यमानानवेक्षेऽहं य एतेऽत्र समागताः धार्तराष्ट्रस्य दुर्बुद्धेर्युद्धे प्रियचिकीरिषवः,"Let me see those who have come here to fight, wishing to please the evil‑minded son of Dhritarashtra.",Main dekhna chahta hoon kaun is dushtbuddhi Dhritarashtra‑putra ke liye ladne aya hai.,"""Main un sabko dekhna chahta hoon jo yahan Dhritarashtra ke dusht bete (Duryodhan) ko khush karne ke liye ladne aaye hain.""",Reveals moral judgement against Duryodhana’s intentions.,GITA_01_23,Gita 1.23,"योत्स्यमानानवेक्षेऽहं य एतेऽत्र समागताः धार्तराष्ट्रस्य दुर्बुद्धेर्युद्धे प्रियचिकीरिषवः
Let me see those who have come here to fight, wishing to please the evil‑minded son of Dhritarashtra.
Main dekhna chahta hoon kaun is dushtbuddhi Dhritarashtra‑putra ke liye ladne aya hai.","family conflict, negative thoughts, office politics"
1,24,सञ्जय उवाच एवमुक्तो हृषीकेशो गुडाकेशेन भारत सेनयोः उभयोर्मध्ये स्थापयित्वा रथोत्तमम्,"Sanjay said: O Bharata, after being addressed by Gudakesha (Arjuna), Hrishikesh placed the finest chariot between the two armies.","Sanjay bola: Hey Bharat, Arjun ki baat sun kar Krishna ne rath dono senaon ke beech laga diya.","""Sanjay ne kaha: Hey Bharatvanshi, Arjun ke aisa kehne par, Shri Krishna ne us shaandaar rath ko dono senaon ke beech laakar khada kar diya.""","Krishna fulfills Arjuna’s request, setting the stage for the emotional turning point.",GITA_01_24,Gita 1.24,"सञ्जय उवाच एवमुक्तो हृषीकेशो गुडाकेशेन भारत सेनयोः उभयोर्मध्ये स्थापयित्वा रथोत्तमम्
Sanjay said: O Bharata, after being addressed by Gudakesha (Arjuna), Hrishikesh placed the finest chariot between the two armies.
Sanjay bola: Hey Bharat, Arjun ki baat sun kar Krishna ne rath dono senaon ke beech laga diya.",Dharma
1,25,भीष्मद्रोणप्रमुखतः सर्वेषां च महीक्षिताम् उवाच पार्थ पश्यैतान्समवेतान्कुरूनिति,"In front of Bhishma, Drona, and all rulers, Krishna said: O Parth, behold these Kurus assembled here.","Bhishma, Drona aur anya rajaon ke samne, Krishna bole: Hey Parth, dekho yeh sab Kuruvanshi khade hain.","""Bheeshma, Drona aur doosre sabhi rajaon ke saamne rath ko khada karke Krishna ne kaha: Hey Parth, yahan ikattha hue in sab Kuruvanshiyon ko dekho.""",Krishna draws Arjuna’s attention to his own kin in battle.,GITA_01_25,Gita 1.25,"भीष्मद्रोणप्रमुखतः सर्वेषां च महीक्षिताम् उवाच पार्थ पश्यैतान्समवेतान्कुरूनिति
In front of Bhishma, Drona, and all rulers, Krishna said: O Parth, behold these Kurus assembled here.
Bhishma, Drona aur anya rajaon ke samne, Krishna bole: Hey Parth, dekho yeh sab Kuruvanshi khade hain.","family conflict, dealing with grief"
1,26,तत्रापश्यत्स्थितान्पार्थः पितृन्थ पितामहान् आचार्यान्मातुलान्भ्रातृन्पुत्रान्पौत्रान्सखींस्तथा श्वशुरान्सुहृदश्चैव सेनयोर्वय पृष्ठतः,"There Arjuna saw grandfathers, fathers, teachers, maternal uncles, brothers, sons, grandsons, friends, fathers‑in‑law, and well‑wishers in both armies.","Arjun ne dekha – dada, pita, guru, mama, bhai, bete, potay, dost, sasur, aur mitra dono senaon me hain.","""Wahan Arjun ne dono hi senaon mein apne chacha, tau, dada, guru, mama, bhai, bete, pote aur doston ko dekha.""",This recognition of relatives shakes Arjuna emotionally.,GITA_01_26,Gita 1.26,"तत्रापश्यत्स्थितान्पार्थः पितृन्थ पितामहान् आचार्यान्मातुलान्भ्रातृन्पुत्रान्पौत्रान्सखींस्तथा श्वशुरान्सुहृदश्चैव सेनयोर्वय पृष्ठतः
There Arjuna saw grandfathers, fathers, teachers, maternal uncles, brothers, sons, grandsons, friends, fathers‑in‑law, and well‑wishers in both armies.
Arjun ne dekha – dada, pita, guru, mama, bhai, bete, potay, dost, sasur, aur mitra dono senaon me hain.","family conflict, dealing with grief, guilt"
1,27,तान्समीक्ष्य स कौन्तेयः सर्वान्बन्धूनवस्थितान् कृपया परयाविष्टो विषीदन्निदमब्रवीत्,"Seeing all his relatives thus, Arjuna was overwhelmed with compassion and spoke grief‑stricken.",Apne sab rishtedaar dekhkar Arjun daya se bhar gaya aur dukhi hokar bola.,"""Jab Arjun ne apne sabhi rishtedaaron aur doston ko wahan dekha, toh uska dil karuna (compassion) se bhar gaya aur usne dukh mein yeh kaha.""",Arjuna’s compassion begins to weaken his will to fight.,GITA_01_27,Gita 1.27,"तान्समीक्ष्य स कौन्तेयः सर्वान्बन्धूनवस्थितान् कृपया परयाविष्टो विषीदन्निदमब्रवीत्
Seeing all his relatives thus, Arjuna was overwhelmed with compassion and spoke grief‑stricken.
Apne sab rishtedaar dekhkar Arjun daya se bhar gaya aur dukhi hokar bola.","dealing with grief, stress, family conflict"
1,28,अर्जुन उवाच दृष्ट्वेमं स्वजनं कृष्ण युयुत्सुं समुपस्थितम् सीदन्ति मम गात्राणि मुखं च परिशुष्यति,"Arjuna said: O Krishna, seeing my people eager to fight, my body fails and mouth is drying.","Hey Krishna, apne logon ko yudh ke liye taiyyar dekhkar mera sharir dhila ho raha hai, muh sookh raha hai.","""Arjun ne kaha: Hey Krishna, apne hi logon ko yuddh ke liye saamne khada dekhkar mere shareer ke ang kaamp rahe hain aur mera munh sookh raha hai.""",Physical signs of stress manifest in Arjuna’s body.,GITA_01_28,Gita 1.28,"अर्जुन उवाच दृष्ट्वेमं स्वजनं कृष्ण युयुत्सुं समुपस्थितम् सीदन्ति मम गात्राणि मुखं च परिशुष्यति
Arjuna said: O Krishna, seeing my people eager to fight, my body fails and mouth is drying.
Hey Krishna, apne logon ko yudh ke liye taiyyar dekhkar mera sharir dhila ho raha hai, muh sookh raha hai.","anxiety, depression, burnout at work"
